,Tokens,Scores,,,,,,,,,,,,,,,,
125,"'(1998),'",-500,,,,,,,,,,,,,,,,
126,'(2',-220,,,,,,,,,,,,,,,,
127,'(2',-208.8,,,,,,,,,,,,,,,,
128,'(2)',-244,,,,,,,,,,,,,,,,
129,'(2)',166.9,,,,,,,,,,,,,,,,
130,"'(2),'",-193.4,,,,,,,,,,,,,,,,
131,"'(2),'",-171.2,,,,,,,,,,,,,,,,
132,'(2).',-193.4,,,,,,,,,,,,,,,,
133,'(20/20',-220,,,,,,,,,,,,,,,,
134,"'(2000),'",-500,,,,,,,,,,,,,,,,
135,"'(2001),'",-500,,,,,,,,,,,,,,,,
136,"'(2001-2004,'",-220,,,,,,,,,,,,,,,,
137,"'(2001Huo 2,'",-20,,,,,,,,,,,,,,,,
138,"'(2002),'",-500,,,,,,,,,,,,,,,,
139,"'(2003-2010,'",-220,,,,,,,,,,,,,,,,
140,'(2004-2009)',-500,,,,,,,,,,,,,,,,
141,'(2005',-300,,,,,,,,,,,,,,,,
142,'(2005',-300,,,,,,,,,,,,,,,,
143,"'(2005),'",-500,,,,,,,,,,,,,,,,
144,'(2006)',-44,,,,,,,,,,,,,,,,
145,"'(2006),'",-500,,,,,,,,,,,,,,,,
146,'(2006-2009).',-300,,,,,,,,,,,,,,,,
147,'(2006-2009).',-300,,,,,,,,,,,,,,,,
148,'(2007-09)',-400,,,,,,,,,,,,,,,,
149,'(2007Huo 012)',-206.8,,,,,,,,,,,,,,,,
150,'(2008)',140,,,,,,,,,,,,,,,,
151,"'(2008),'",-313.2,,,,,,,,,,,,,,,,
152,"'(2008),'",-20,,,,,,,,,,,,,,,,
153,'(2008):',140,,,,,,,,,,,,,,,,
154,"'(2008,'",-400,,,,,,,,,,,,,,,,
155,'(2008-2011)',-300,,,,,,,,,,,,,,,,
156,'(2008-2011)',-300,,,,,,,,,,,,,,,,
157,'(2008-2013)',100,,,,,,,,,,,,,,,,
158,'(2008Huo 011)',-340,,,,,,,,,,,,,,,,
159,'(2009-',-220,,,,,,,,,,,,,,,,
160,'(2009)',-460,,,,,,,,,,,,,,,,
161,'(2009)',-300,,,,,,,,,,,,,,,,
162,'(2009)',-300,,,,,,,,,,,,,,,,
163,'(2009);',-340,,,,,,,,,,,,,,,,
164,"'(2009,'",-400,,,,,,,,,,,,,,,,
165,'(2009-11)',166.9,,,,,,,,,,,,,,,,
166,'(2009-13',-400,,,,,,,,,,,,,,,,
167,'(2009-2012)',-220,,,,,,,,,,,,,,,,
168,'(2009-2012)',-220,,,,,,,,,,,,,,,,
169,'(2009-2019)',-420,,,,,,,,,,,,,,,,
170,'(2010)',-206.8,,,,,,,,,,,,,,,,
171,'(2010)',140,,,,,,,,,,,,,,,,
172,'(2010)',-400,,,,,,,,,,,,,,,,
173,'(2010)',-300,,,,,,,,,,,,,,,,
174,'(2010)',-300,,,,,,,,,,,,,,,,
175,"'(2010),'",-244,,,,,,,,,,,,,,,,
176,'(2010);',-460,,,,,,,,,,,,,,,,
177,"'(2010-12),'",-400,,,,,,,,,,,,,,,,
178,'(2010-2012)',-400,,,,,,,,,,,,,,,,
179,'(2010-2012);',-300,,,,,,,,,,,,,,,,
180,'(2010-2012);',-300,,,,,,,,,,,,,,,,
181,"'(2010-2013),'",-244,,,,,,,,,,,,,,,,
182,'(2010-2015)',-300,,,,,,,,,,,,,,,,
183,'(2010-2015)',-300,,,,,,,,,,,,,,,,
184,'(2010Huo 015)',-340,,,,,,,,,,,,,,,,
185,'(2011-',-400,,,,,,,,,,,,,,,,
186,'(2011)).',60,,,,,,,,,,,,,,,,
187,"'(2011),'",-20,,,,,,,,,,,,,,,,
188,'(2011):',140,,,,,,,,,,,,,,,,
189,'(2011-12)',140,,,,,,,,,,,,,,,,
190,'(2011-13)',-73.4,,,,,,,,,,,,,,,,
191,'(2011-2012).',-300,,,,,,,,,,,,,,,,
192,'(2011-2012).',-300,,,,,,,,,,,,,,,,
193,'(2012',-100,,,,,,,,,,,,,,,,
194,'(2012',-208.8,,,,,,,,,,,,,,,,
195,'(2012)',-400,,,,,,,,,,,,,,,,
196,'(2012)',166.9,,,,,,,,,,,,,,,,
197,'(2012)',-153.2,,,,,,,,,,,,,,,,
198,'(2012).',-500,,,,,,,,,,,,,,,,
199,'(2012).',-460,,,,,,,,,,,,,,,,
200,'(2012):',140,,,,,,,,,,,,,,,,
201,"'(2012,'",-220,,,,,,,,,,,,,,,,
202,'(2012-13);',-73.4,,,,,,,,,,,,,,,,
203,'(2012-2013);',-220,,,,,,,,,,,,,,,,
204,'(2012-2014)',-300,,,,,,,,,,,,,,,,
205,'(2012-2014)',-300,,,,,,,,,,,,,,,,
206,'(2013)',-400,,,,,,,,,,,,,,,,
207,'(2013)',-20,,,,,,,,,,,,,,,,
208,'(2013).',-220,,,,,,,,,,,,,,,,
209,'(2013).',0,,,,,,,,,,,,,,,,
210,'(2013).',-208.8,,,,,,,,,,,,,,,,
211,'(2013):',140,,,,,,,,,,,,,,,,
212,'(2013);',-220,,,,,,,,,,,,,,,,
213,'(2013-15)',-400,,,,,,,,,,,,,,,,
214,'(2013-17)',-400,,,,,,,,,,,,,,,,
215,'(2013-2018)',-300,,,,,,,,,,,,,,,,
216,'(2013-2018)',-300,,,,,,,,,,,,,,,,
217,'(2013Huo 014)',-206.8,,,,,,,,,,,,,,,,
218,'(2013Huo 015)',-340,,,,,,,,,,,,,,,,
219,'(2013Huo 017)',-206.8,,,,,,,,,,,,,,,,
220,'(2014-17)',-20,,,,,,,,,,,,,,,,
221,'(2014-21)',-400,,,,,,,,,,,,,,,,
222,'(2014-21).',-400,,,,,,,,,,,,,,,,
223,'(2015)',-420,,,,,,,,,,,,,,,,
224,'(23',-153.2,,,,,,,,,,,,,,,,
225,'(230',40,,,,,,,,,,,,,,,,
226,'(27',-460,,,,,,,,,,,,,,,,
227,'(27',100,,,,,,,,,,,,,,,,
228,"'(28/02/2012),'",-500,,,,,,,,,,,,,,,,
229,'(29',-460,,,,,,,,,,,,,,,,
230,'(3',-220,,,,,,,,,,,,,,,,
231,'(3)',-244,,,,,,,,,,,,,,,,
232,'(3)',166.9,,,,,,,,,,,,,,,,
233,"'(3),'",-193.4,,,,,,,,,,,,,,,,
234,'(39',-208.8,,,,,,,,,,,,,,,,
235,'(4',-220,,,,,,,,,,,,,,,,
236,'(4)',-244,,,,,,,,,,,,,,,,
237,'(4)',-171.2,,,,,,,,,,,,,,,,
238,'(40%',-268,,,,,,,,,,,,,,,,
239,'(40%)',-171.2,,,,,,,,,,,,,,,,
240,'(5',140,,,,,,,,,,,,,,,,
241,'(5',-153.2,,,,,,,,,,,,,,,,
242,'(5)',-244,,,,,,,,,,,,,,,,
243,"'(5),'",-193.4,,,,,,,,,,,,,,,,
244,'(50',0,,,,,,,,,,,,,,,,
245,'(50%',140,,,,,,,,,,,,,,,,
246,'(5000',-60,,,,,,,,,,,,,,,,
247,'(59.2',-400,,,,,,,,,,,,,,,,
248,'(6',-73.4,,,,,,,,,,,,,,,,
249,'(60%',-220,,,,,,,,,,,,,,,,
250,'(60%',140,,,,,,,,,,,,,,,,
251,'(64-fold;',-340,,,,,,,,,,,,,,,,
252,'(7).',40,,,,,,,,,,,,,,,,
253,"'(720113,'",166.9,,,,,,,,,,,,,,,,
254,'(8',-460,,,,,,,,,,,,,,,,
255,'(8',-153.2,,,,,,,,,,,,,,,,
256,'(8.0',166.9,,,,,,,,,,,,,,,,
257,'(9).',-420,,,,,,,,,,,,,,,,
258,'(90%',140,,,,,,,,,,,,,,,,
259,'(a',-193.2,,,,,,,,,,,,,,,,
260,'(a',140,,,,,,,,,,,,,,,,
261,'(a',0,,,,,,,,,,,,,,,,
262,'(a',-208.8,,,,,,,,,,,,,,,,
263,'(a',-300,,,,,,,,,,,,,,,,
264,'(a',-300,,,,,,,,,,,,,,,,
265,'(a)',-268,,,,,,,,,,,,,,,,
266,'(a)',-60,,,,,,,,,,,,,,,,
267,'(A)',-291,,,,,,,,,,,,,,,,
268,'(a)',-300,,,,,,,,,,,,,,,,
269,'(a)',-300,,,,,,,,,,,,,,,,
270,'(A4B',60,,,,,,,,,,,,,,,,
271,"'(A4B),'",60,,,,,,,,,,,,,,,,
272,"'(Aachen),'",-60,,,,,,,,,,,,,,,,
273,'(ABB-Switzerland',-100,,,,,,,,,,,,,,,,
274,'(Aberdeen)',-193.4,,,,,,,,,,,,,,,,
275,'(Academia',-300,,,,,,,,,,,,,,,,
276,'(Academia',-300,,,,,,,,,,,,,,,,
277,'(Academic',-220,,,,,,,,,,,,,,,,
278,'(academic',-171.2,,,,,,,,,,,,,,,,
279,'(acquired',-60,,,,,,,,,,,,,,,,
280,"'(ADs),'",-171.2,,,,,,,,,,,,,,,,
281,'(advice',-171.2,,,,,,,,,,,,,,,,
282,'(AE)',-291,,,,,,,,,,,,,,,,
283,"'(Agilent,'",-193.2,,,,,,,,,,,,,,,,
284,"'(Agilent,'",-208.8,,,,,,,,,,,,,,,,
285,"'(AIPT),'",-153.2,,,,,,,,,,,,,,,,
286,"'(air,'",140,,,,,,,,,,,,,,,,
287,"'(airframes,'",-20,,,,,,,,,,,,,,,,
288,'(AIS)',-60,,,,,,,,,,,,,,,,
289,"'(Aldermaston),'",-313.2,,,,,,,,,,,,,,,,
290,'(ALERTS)Huo ',-400,,,,,,,,,,,,,,,,
291,'(alongside',-193.2,,,,,,,,,,,,,,,,
292,'(an',-206.8,,,,,,,,,,,,,,,,
293,'(an',-208.8,,,,,,,,,,,,,,,,
294,'(and',-420,,,,,,,,,,,,,,,,
295,'(and',-400,,,,,,,,,,,,,,,,
296,'(and',-193.4,,,,,,,,,,,,,,,,
297,'(and',166.9,,,,,,,,,,,,,,,,
298,'(announced',-420,,,,,,,,,,,,,,,,
299,"'(ANSTO,'",-20,,,,,,,,,,,,,,,,
300,'(Antennas);',-291,,,,,,,,,,,,,,,,
301,'(antireflective)',140,,,,,,,,,,,,,,,,
302,'(application',-20,,,,,,,,,,,,,,,,
303,'(Arm',-100,,,,,,,,,,,,,,,,
304,"'(ARM,'",-193.2,,,,,,,,,,,,,,,,
305,'(around',-20,,,,,,,,,,,,,,,,
306,"'(Arshad,'",-500,,,,,,,,,,,,,,,,
307,'(as',-244,,,,,,,,,,,,,,,,
308,'(at',-140,,,,,,,,,,,,,,,,
309,"'(Australia),'",-20,,,,,,,,,,,,,,,,
310,'(auxetic',-420,,,,,,,,,,,,,,,,
311,'(average',-73.4,,,,,,,,,,,,,,,,
312,'(AVS)',140,,,,,,,,,,,,,,,,
313,'(AWE',-326.6,,,,,,,,,,,,,,,,
314,'(b)',-220,,,,,,,,,,,,,,,,
315,'(b)',140,,,,,,,,,,,,,,,,
316,'(b)',-268,,,,,,,,,,,,,,,,
317,'(b)',-60,,,,,,,,,,,,,,,,
318,'(B)',-291,,,,,,,,,,,,,,,,
319,'(b)',-300,,,,,,,,,,,,,,,,
320,'(b)',-300,,,,,,,,,,,,,,,,
321,'(b))',140,,,,,,,,,,,,,,,,
322,"'(b),'",-220,,,,,,,,,,,,,,,,
323,'(b).',-220,,,,,,,,,,,,,,,,
324,'(b).',-100,,,,,,,,,,,,,,,,
325,'(B.1',100,,,,,,,,,,,,,,,,
326,'(BAES).',-171.2,,,,,,,,,,,,,,,,
327,"'(Barber),'",-300,,,,,,,,,,,,,,,,
328,"'(Barnes),'",40,,,,,,,,,,,,,,,,
329,'(Bastiaansen).',-300,,,,,,,,,,,,,,,,
330,'(Baxendale)',-300,,,,,,,,,,,,,,,,
331,"'(BB/G018065,'",-340,,,,,,,,,,,,,,,,
332,'(BBC/Sky',-208.8,,,,,,,,,,,,,,,,
333,'(BDM)',-220,,,,,,,,,,,,,,,,
334,'(BDMs)',-340,,,,,,,,,,,,,,,,
335,'(BDO)',-300,,,,,,,,,,,,,,,,
336,"'(Becer,'",-300,,,,,,,,,,,,,,,,
337,'(Becerra)',-244,,,,,,,,,,,,,,,,
338,'(believed',140,,,,,,,,,,,,,,,,
339,'(benefiting',-73.4,,,,,,,,,,,,,,,,
340,'(Berkeley).',-60,,,,,,,,,,,,,,,,
341,"'(Bett,'",-244,,,,,,,,,,,,,,,,
342,'(Binions)',-300,,,,,,,,,,,,,,,,
343,'(Binions).',-300,,,,,,,,,,,,,,,,
344,'(biometric',-60,,,,,,,,,,,,,,,,
345,'(BIOPATTERN)',-44,,,,,,,,,,,,,,,,
346,'(BITE)',-193.2,,,,,,,,,,,,,,,,
347,'(blades',-420,,,,,,,,,,,,,,,,
348,'(Blondel',-220,,,,,,,,,,,,,,,,
349,'(BMI)',-400,,,,,,,,,,,,,,,,
350,'(bold',-291,,,,,,,,,,,,,,,,
351,'(Bond)',140,,,,,,,,,,,,,,,,
352,'(both',-206.8,,,,,,,,,,,,,,,,
353,'(both',-420,,,,,,,,,,,,,,,,
354,'(both',-60,,,,,,,,,,,,,,,,
355,'(Bowen',-220,,,,,,,,,,,,,,,,
356,'(BP-ICAM)',-100,,,,,,,,,,,,,,,,
357,"'(BPU),'",-153.2,,,,,,,,,,,,,,,,
358,"'(Bradley),'",-313.2,,,,,,,,,,,,,,,,
359,"'(Bradley,'",-313.2,,,,,,,,,,,,,,,,
360,'(BRAN)',-206.8,,,,,,,,,,,,,,,,
361,'(BRF)',-220,,,,,,,,,,,,,,,,
362,"'(Bridgestone,'",-300,,,,,,,,,,,,,,,,
363,"'(Briggs,'",-268,,,,,,,,,,,,,,,,
364,"'(Brown),'",40,,,,,,,,,,,,,,,,
365,'(BSI)',-220,,,,,,,,,,,,,,,,
366,"'(BT,'",-193.2,,,,,,,,,,,,,,,,
367,'(BUEE)',-300,,,,,,,,,,,,,,,,
368,'(BUEE)',-300,,,,,,,,,,,,,,,,
369,'(building',-60,,,,,,,,,,,,,,,,
370,"'(Burr,'",-206.8,,,,,,,,,,,,,,,,
371,"'(Busfield),'",-300,,,,,,,,,,,,,,,,
372,'(Bushby)',-300,,,,,,,,,,,,,,,,
373,'(by',100,,,,,,,,,,,,,,,,
374,'(c)',-268,,,,,,,,,,,,,,,,
375,'(c)',-60,,,,,,,,,,,,,,,,
376,'(C)',-291,,,,,,,,,,,,,,,,
377,'(c.1920s)',-326.6,,,,,,,,,,,,,,,,
378,'(C4DM).',-291,,,,,,,,,,,,,,,,
379,'(C4DM);',-291,,,,,,,,,,,,,,,,
380,"'(C4DM,'",-291,,,,,,,,,,,,,,,,
381,'(CACR)',0,,,,,,,,,,,,,,,,
382,'(CadiscLu ).',140,,,,,,,,,,,,,,,,
383,'(CAED)',-60,,,,,,,,,,,,,,,,
384,"'(Canada),'",-340,,,,,,,,,,,,,,,,
385,"'(Canada),'",-20,,,,,,,,,,,,,,,,
386,"'(CAP),'",100,,,,,,,,,,,,,,,,
387,'(carbogenic',140,,,,,,,,,,,,,,,,
388,'(Carnegie',-60,,,,,,,,,,,,,,,,
389,'(Carr)',-460,,,,,,,,,,,,,,,,
390,"'(CAS),'",100,,,,,,,,,,,,,,,,
391,'(CASC)',-208.8,,,,,,,,,,,,,,,,
392,'(Case',-268,,,,,,,,,,,,,,,,
393,'(Case',-244,,,,,,,,,,,,,,,,
394,'(Case',-300,,,,,,,,,,,,,,,,
395,'(Case',-291,,,,,,,,,,,,,,,,
396,'(case',-291,,,,,,,,,,,,,,,,
397,'(Case',-60,,,,,,,,,,,,,,,,
398,'(Case',-208.8,,,,,,,,,,,,,,,,
399,'(CASE)',-313.2,,,,,,,,,,,,,,,,
400,"'(cash,'",-291,,,,,,,,,,,,,,,,
401,'(cassie.doherty@ipgroupplc.com)',-340,,,,,,,,,,,,,,,,
402,"'(CAST),'",-220,,,,,,,,,,,,,,,,
403,'(CAST).',-313.2,,,,,,,,,,,,,,,,
404,'(CBC/Cape',-208.8,,,,,,,,,,,,,,,,
405,'(CDT)',-193.2,,,,,,,,,,,,,,,,
406,'(CDT)',-400,,,,,,,,,,,,,,,,
407,"'(CE),'",140,,,,,,,,,,,,,,,,
408,'(Centre',-193.4,,,,,,,,,,,,,,,,
409,'(Ceres',-208.8,,,,,,,,,,,,,,,,
410,"'(CERN,'",-193.2,,,,,,,,,,,,,,,,
411,'(CFHS)',140,,,,,,,,,,,,,,,,
412,'(Chair',-171.2,,,,,,,,,,,,,,,,
413,"'(chair),'",-244,,,,,,,,,,,,,,,,
414,'(chaired',-60,,,,,,,,,,,,,,,,
415,'(Charitable',0,,,,,,,,,,,,,,,,
416,"'(CHBS/004/00091C,2008-2010)'",-300,,,,,,,,,,,,,,,,
417,"'(CHBS/004/00091C,2008-2010)'",-300,,,,,,,,,,,,,,,,
418,'(CHIC)',0,,,,,,,,,,,,,,,,
419,'(China',-340,,,,,,,,,,,,,,,,
420,'(China)',-500,,,,,,,,,,,,,,,,
421,"'(China),'",-340,,,,,,,,,,,,,,,,
422,"'(China),'",-20,,,,,,,,,,,,,,,,
423,'(China).',-500,,,,,,,,,,,,,,,,
424,'(China-UK',-460,,,,,,,,,,,,,,,,
425,"'(Chouliaras,'",-171.2,,,,,,,,,,,,,,,,
426,'(Chris',100,,,,,,,,,,,,,,,,
427,'(chris.chambers@rd.bbc.co.uk).',-340,,,,,,,,,,,,,,,,
428,'(Churchill)',-460,,,,,,,,,,,,,,,,
429,'(CIGRE).',40,,,,,,,,,,,,,,,,
430,"'(CIMP),'",-460,,,,,,,,,,,,,,,,
431,'(CIMS)',-313.2,,,,,,,,,,,,,,,,
432,'(CIPS-Long 2m)',0,,,,,,,,,,,,,,,,
433,'(CMS)',140,,,,,,,,,,,,,,,,
434,'(CNMPA)',-500,,,,,,,,,,,,,,,,
435,'(CNTs).',140,,,,,,,,,,,,,,,,
436,'(CogSci);',-291,,,,,,,,,,,,,,,,
437,"'(CogSci,'",-291,,,,,,,,,,,,,,,,
438,'(CogSci+Vision);',-291,,,,,,,,,,,,,,,,
439,'(community',-400,,,,,,,,,,,,,,,,
440,'(companies',40,,,,,,,,,,,,,,,,
441,'(completed',140,,,,,,,,,,,,,,,,
442,'(completion',100,,,,,,,,,,,,,,,,
443,'(compo-',-340,,,,,,,,,,,,,,,,
444,'(components',-420,,,,,,,,,,,,,,,,
445,'(components).',-420,,,,,,,,,,,,,,,,
446,'(comprising',-291,,,,,,,,,,,,,,,,
447,'(confirmation',-193.4,,,,,,,,,,,,,,,,
448,'(Contact',-220,,,,,,,,,,,,,,,,
449,'(Contact:',-220,,,,,,,,,,,,,,,,
450,"'(content),'",-340,,,,,,,,,,,,,,,,
451,'(Control',40,,,,,,,,,,,,,,,,
452,'(Convenor:',-171.2,,,,,,,,,,,,,,,,
453,'(co-ordinates',-171.2,,,,,,,,,,,,,,,,
454,"'(Cotton),'",40,,,,,,,,,,,,,,,,
455,'(CPD)',-206.8,,,,,,,,,,,,,,,,
456,'(CPD)',-171.2,,,,,,,,,,,,,,,,
457,"'(CPE),'",-291,,,,,,,,,,,,,,,,
458,'(CRTB).',-44,,,,,,,,,,,,,,,,
459,'(CS',-300,,,,,,,,,,,,,,,,
460,'(CS)',140,,,,,,,,,,,,,,,,
461,'(CS-1)',-100,,,,,,,,,,,,,,,,
462,'(CS-2).',-100,,,,,,,,,,,,,,,,
463,'(CSAOS)',-220,,,,,,,,,,,,,,,,
464,'(CSC)',-300,,,,,,,,,,,,,,,,
465,'(CSCAN)',-44,,,,,,,,,,,,,,,,
466,'(CSIT).',-60,,,,,,,,,,,,,,,,
467,"'(CSP),'",100,,,,,,,,,,,,,,,,
468,'(CSPD)',-220,,,,,,,,,,,,,,,,
469,'(CSR',-100,,,,,,,,,,,,,,,,
470,'(CSR)',-100,,,,,,,,,,,,,,,,
471,'(CSs)',140,,,,,,,,,,,,,,,,
472,'(CSs)',-100,,,,,,,,,,,,,,,,
473,'(cyclotron',-420,,,,,,,,,,,,,,,,
474,'(Czernuszka)',-268,,,,,,,,,,,,,,,,
475,'(d)',-268,,,,,,,,,,,,,,,,
476,'(D)',-291,,,,,,,,,,,,,,,,
477,'(Darlington)',-460,,,,,,,,,,,,,,,,
478,"'(DBDM),'",-73.4,,,,,,,,,,,,,,,,
479,'(dburt@mmiengineering.com)',-340,,,,,,,,,,,,,,,,
480,'(DC)',-60,,,,,,,,,,,,,,,,
481,"'(Dean,'",-340,,,,,,,,,,,,,,,,
482,'(Dec',140,,,,,,,,,,,,,,,,
483,"'(DECC),'",-171.2,,,,,,,,,,,,,,,,
484,"'(DECC,'",-220,,,,,,,,,,,,,,,,
485,"'(Degenaar,'",-60,,,,,,,,,,,,,,,,
486,"'(DEL,'",0,,,,,,,,,,,,,,,,
487,'(Denso',-313.2,,,,,,,,,,,,,,,,
488,'(Deputy',-100,,,,,,,,,,,,,,,,
489,'(described',-153.2,,,,,,,,,,,,,,,,
490,'(detailed',140,,,,,,,,,,,,,,,,
491,'(details',-100,,,,,,,,,,,,,,,,
492,'(DIC)',-20,,,,,,,,,,,,,,,,
493,'(Digital',-460,,,,,,,,,,,,,,,,
494,"'(Director,'",-460,,,,,,,,,,,,,,,,
495,'(Director:',-100,,,,,,,,,,,,,,,,
496,'(Director:',-220,,,,,,,,,,,,,,,,
497,'(Dixon)',-171.2,,,,,,,,,,,,,,,,
498,"'(Djambazov,'",-500,,,,,,,,,,,,,,,,
499,'(DK-AS-5SGXEA7N)',-60,,,,,,,,,,,,,,,,
500,'(DMSM)',140,,,,,,,,,,,,,,,,
501,'(doctoral',-420,,,,,,,,,,,,,,,,
